Category: All categories

Week,Aquafina: (Worldwide)
2015-02-22,13
2015-03-01,14
2015-03-08,15
2015-03-15,14
2015-03-22,17
2015-03-29,15
2015-04-05,18
2015-04-12,16
2015-04-19,20
2015-04-26,17
2015-05-03,18
2015-05-10,19
2015-05-17,18
2015-05-24,17
2015-05-31,15
2015-06-07,16
2015-06-14,19
2015-06-21,31
2015-06-28,20
2015-07-05,22
2015-07-12,20
2015-07-19,19
2015-07-26,19
2015-08-02,18
2015-08-09,18
2015-08-16,18
2015-08-23,17
2015-08-30,18
2015-09-06,18
2015-09-13,17
2015-09-20,17
2015-09-27,17
2015-10-04,18
2015-10-11,19
2015-10-18,20
2015-10-25,41
2015-11-01,20
2015-11-08,19
2015-11-15,20
2015-11-22,16
2015-11-29,16
2015-12-06,16
2015-12-13,17
2015-12-20,17
2015-12-27,17
2016-01-03,15
2016-01-10,19
2016-01-17,17
2016-01-24,19
2016-01-31,21
2016-02-07,21
2016-02-14,20
2016-02-21,20
2016-02-28,17
2016-03-06,16
2016-03-13,20
2016-03-20,17
2016-03-27,22
2016-04-03,23
2016-04-10,22
2016-04-17,19
2016-04-24,22
2016-05-01,18
2016-05-08,23
2016-05-15,26
2016-05-22,23
2016-05-29,22
2016-06-05,23
2016-06-12,24
2016-06-19,21
2016-06-26,19
2016-07-03,20
2016-07-10,18
2016-07-17,20
2016-07-24,29
2016-07-31,25
2016-08-07,24
2016-08-14,21
2016-08-21,23
2016-08-28,23
2016-09-04,22
2016-09-11,28
2016-09-18,37
2016-09-25,35
2016-10-02,39
2016-10-09,24
2016-10-16,20
2016-10-23,18
2016-10-30,26
2016-11-06,18
2016-11-13,21
2016-11-20,15
2016-11-27,14
2016-12-04,18
2016-12-11,17
2016-12-18,31
2016-12-25,23
2017-01-01,22
2017-01-08,29
2017-01-15,22
2017-01-22,24
2017-01-29,24
2017-02-05,23
2017-02-12,17
2017-02-19,20
2017-02-26,23
2017-03-05,23
2017-03-12,19
2017-03-19,22
2017-03-26,22
2017-04-02,24
2017-04-09,21
2017-04-16,21
2017-04-23,26
2017-04-30,21
2017-05-07,23
2017-05-14,22
2017-05-21,25
2017-05-28,24
2017-06-04,23
2017-06-11,21
2017-06-18,21
2017-06-25,21
2017-07-02,25
2017-07-09,23
2017-07-16,22
2017-07-23,21
2017-07-30,21
2017-08-06,24
2017-08-13,23
2017-08-20,20
2017-08-27,20
2017-09-03,30
2017-09-10,22
2017-09-17,21
2017-09-24,21
2017-10-01,19
2017-10-08,18
2017-10-15,20
2017-10-22,21
2017-10-29,26
2017-11-05,21
2017-11-12,21
2017-11-19,18
2017-11-26,19
2017-12-03,20
2017-12-10,21
2017-12-17,19
2017-12-24,18
2017-12-31,32
2018-01-07,64
2018-01-14,29
2018-01-21,22
2018-01-28,23
2018-02-04,22
2018-02-11,18
2018-02-18,20
2018-02-25,21
2018-03-04,23
2018-03-11,25
2018-03-18,25
2018-03-25,22
2018-04-01,23
2018-04-08,23
2018-04-15,22
2018-04-22,26
2018-04-29,24
2018-05-06,23
2018-05-13,22
2018-05-20,24
2018-05-27,26
2018-06-03,33
2018-06-10,26
2018-06-17,27
2018-06-24,24
2018-07-01,24
2018-07-08,24
2018-07-15,21
2018-07-22,21
2018-07-29,24
2018-08-05,26
2018-08-12,49
2018-08-19,47
2018-08-26,36
2018-09-02,28
2018-09-09,31
2018-09-16,26
2018-09-23,26
2018-09-30,31
2018-10-07,97
2018-10-14,28
2018-10-21,27
2018-10-28,26
2018-11-04,25
2018-11-11,25
2018-11-18,27
2018-11-25,43
2018-12-02,28
2018-12-09,29
2018-12-16,26
2018-12-23,27
2018-12-30,29
2019-01-06,32
2019-01-13,26
2019-01-20,30
2019-01-27,27
2019-02-03,23
2019-02-10,24
2019-02-17,28
2019-02-24,79
2019-03-03,26
2019-03-10,24
2019-03-17,24
2019-03-24,24
2019-03-31,23
2019-04-07,22
2019-04-14,27
2019-04-21,28
2019-04-28,27
2019-05-05,29
2019-05-12,29
2019-05-19,34
2019-05-26,35
2019-06-02,40
2019-06-09,47
2019-06-16,33
2019-06-23,28
2019-06-30,31
2019-07-07,38
2019-07-14,52
2019-07-21,38
2019-07-28,35
2019-08-04,35
2019-08-11,31
2019-08-18,30
2019-08-25,29
2019-09-01,28
2019-09-08,55
2019-09-15,24
2019-09-22,27
2019-09-29,23
2019-10-06,28
2019-10-13,28
2019-10-20,24
2019-10-27,30
2019-11-03,24
2019-11-10,27
2019-11-17,25
2019-11-24,23
2019-12-01,27
2019-12-08,36
2019-12-15,29
2019-12-22,31
2019-12-29,30
2020-01-05,100
2020-01-12,47
2020-01-19,45
2020-01-26,34
2020-02-02,33
2020-02-09,30
2020-02-16,30
