Category: All categories

Week,bottled water: (Worldwide)
2015-02-22,16
2015-03-01,15
2015-03-08,16
2015-03-15,16
2015-03-22,15
2015-03-29,16
2015-04-05,18
2015-04-12,19
2015-04-19,18
2015-04-26,17
2015-05-03,18
2015-05-10,20
2015-05-17,17
2015-05-24,16
2015-05-31,18
2015-06-07,20
2015-06-14,18
2015-06-21,100
2015-06-28,28
2015-07-05,22
2015-07-12,20
2015-07-19,19
2015-07-26,18
2015-08-02,19
2015-08-09,18
2015-08-16,16
2015-08-23,18
2015-08-30,17
2015-09-06,18
2015-09-13,20
2015-09-20,17
2015-09-27,16
2015-10-04,16
2015-10-11,16
2015-10-18,16
2015-10-25,15
2015-11-01,16
2015-11-08,16
2015-11-15,14
2015-11-22,12
2015-11-29,15
2015-12-06,13
2015-12-13,12
2015-12-20,10
2015-12-27,13
2016-01-03,18
2016-01-10,15
2016-01-17,18
2016-01-24,18
2016-01-31,19
2016-02-07,17
2016-02-14,17
2016-02-21,19
2016-02-28,21
2016-03-06,19
2016-03-13,19
2016-03-20,17
2016-03-27,20
2016-04-03,19
2016-04-10,19
2016-04-17,21
2016-04-24,19
2016-05-01,19
2016-05-08,18
2016-05-15,19
2016-05-22,19
2016-05-29,17
2016-06-05,18
2016-06-12,16
2016-06-19,18
2016-06-26,18
2016-07-03,16
2016-07-10,17
2016-07-17,19
2016-07-24,18
2016-07-31,19
2016-08-07,17
2016-08-14,18
2016-08-21,19
2016-08-28,17
2016-09-04,21
2016-09-11,19
2016-09-18,19
2016-09-25,18
2016-10-02,18
2016-10-09,16
2016-10-16,18
2016-10-23,15
2016-10-30,16
2016-11-06,14
2016-11-13,16
2016-11-20,12
2016-11-27,15
2016-12-04,14
2016-12-11,14
2016-12-18,14
2016-12-25,12
2017-01-01,15
2017-01-08,16
2017-01-15,18
2017-01-22,23
2017-01-29,19
2017-02-05,18
2017-02-12,18
2017-02-19,19
2017-02-26,18
2017-03-05,21
2017-03-12,21
2017-03-19,22
2017-03-26,22
2017-04-02,20
2017-04-09,18
2017-04-16,18
2017-04-23,18
2017-04-30,20
2017-05-07,19
2017-05-14,18
2017-05-21,19
2017-05-28,18
2017-06-04,19
2017-06-11,20
2017-06-18,22
2017-06-25,20
2017-07-02,20
2017-07-09,19
2017-07-16,19
2017-07-23,21
2017-07-30,20
2017-08-06,19
2017-08-13,20
2017-08-20,19
2017-08-27,19
2017-09-03,32
2017-09-10,20
2017-09-17,18
2017-09-24,19
2017-10-01,17
2017-10-08,17
2017-10-15,17
2017-10-22,16
2017-10-29,16
2017-11-05,16
2017-11-12,16
2017-11-19,15
2017-11-26,15
2017-12-03,15
2017-12-10,16
2017-12-17,13
2017-12-24,13
2017-12-31,17
2018-01-07,18
2018-01-14,17
2018-01-21,17
2018-01-28,20
2018-02-04,18
2018-02-11,17
2018-02-18,17
2018-02-25,16
2018-03-04,18
2018-03-11,28
2018-03-18,24
2018-03-25,20
2018-04-01,23
2018-04-08,21
2018-04-15,19
2018-04-22,20
2018-04-29,18
2018-05-06,18
2018-05-13,18
2018-05-20,18
2018-05-27,19
2018-06-03,18
2018-06-10,17
2018-06-17,18
2018-06-24,20
2018-07-01,19
2018-07-08,19
2018-07-15,19
2018-07-22,19
2018-07-29,18
2018-08-05,18
2018-08-12,17
2018-08-19,17
2018-08-26,17
2018-09-02,18
2018-09-09,23
2018-09-16,18
2018-09-23,16
2018-09-30,17
2018-10-07,16
2018-10-14,15
2018-10-21,17
2018-10-28,15
2018-11-04,16
2018-11-11,15
2018-11-18,12
2018-11-25,15
2018-12-02,16
2018-12-09,14
2018-12-16,14
2018-12-23,13
2018-12-30,15
2019-01-06,15
2019-01-13,17
2019-01-20,23
2019-01-27,22
2019-02-03,18
2019-02-10,16
2019-02-17,17
2019-02-24,17
2019-03-03,17
2019-03-10,16
2019-03-17,17
2019-03-24,17
2019-03-31,17
2019-04-07,17
2019-04-14,19
2019-04-21,20
2019-04-28,19
2019-05-05,18
2019-05-12,17
2019-05-19,17
2019-05-26,19
2019-06-02,19
2019-06-09,19
2019-06-16,22
2019-06-23,23
2019-06-30,20
2019-07-07,19
2019-07-14,20
2019-07-21,18
2019-07-28,22
2019-08-04,19
2019-08-11,19
2019-08-18,19
2019-08-25,21
2019-09-01,17
2019-09-08,18
2019-09-15,18
2019-09-22,17
2019-09-29,17
2019-10-06,16
2019-10-13,15
2019-10-20,17
2019-10-27,15
2019-11-03,16
2019-11-10,15
2019-11-17,15
2019-11-24,13
2019-12-01,16
2019-12-08,15
2019-12-15,14
2019-12-22,12
2019-12-29,15
2020-01-05,17
2020-01-12,18
2020-01-19,17
2020-01-26,17
2020-02-02,16
2020-02-09,18
2020-02-16,17
