Category: All categories

Week,Yeti: (Worldwide),Hydro Flask: (Worldwide),Camelbak: (Worldwide),Contigo: (Worldwide),Swell: (Worldwide)
2015-02-22,34,1,5,58,12
2015-03-01,32,1,5,55,13
2015-03-08,34,1,6,55,14
2015-03-15,36,1,6,56,13
2015-03-22,35,1,6,53,13
2015-03-29,38,1,6,52,13
2015-04-05,37,1,6,54,13
2015-04-12,36,1,6,53,14
2015-04-19,35,1,6,53,14
2015-04-26,35,1,6,54,13
2015-05-03,36,1,6,53,14
2015-05-10,37,1,6,51,15
2015-05-17,39,1,6,52,14
2015-05-24,40,1,7,53,14
2015-05-31,39,1,7,52,14
2015-06-07,43,2,7,55,16
2015-06-14,51,2,8,54,15
2015-06-21,49,2,8,54,17
2015-06-28,46,2,8,52,16
2015-07-05,45,2,7,52,16
2015-07-12,47,2,7,53,16
2015-07-19,48,2,7,52,16
2015-07-26,51,2,8,52,15
2015-08-02,50,2,8,51,15
2015-08-09,50,3,8,51,15
2015-08-16,54,3,7,52,15
2015-08-23,53,3,7,52,15
2015-08-30,51,3,7,51,15
2015-09-06,52,3,6,50,15
2015-09-13,49,2,6,48,14
2015-09-20,50,3,6,50,15
2015-09-27,46,2,5,52,15
2015-10-04,45,2,5,51,14
2015-10-11,47,2,5,49,15
2015-10-18,47,2,5,48,13
2015-10-25,46,2,4,49,14
2015-11-01,48,2,4,47,13
2015-11-08,49,2,4,48,13
2015-11-15,49,3,5,46,14
2015-11-22,60,3,5,50,14
2015-11-29,69,3,6,49,17
2015-12-06,79,3,6,48,17
2015-12-13,94,4,5,49,18
2015-12-20,100,3,5,48,17
2015-12-27,70,3,5,49,18
2016-01-03,52,2,5,45,17
2016-01-10,46,2,5,45,15
2016-01-17,43,2,5,46,15
2016-01-24,45,2,5,46,15
2016-01-31,47,2,5,44,16
2016-02-07,52,2,5,45,16
2016-02-14,45,2,5,45,16
2016-02-21,42,2,5,44,17
2016-02-28,40,2,5,43,16
2016-03-06,42,2,5,43,16
2016-03-13,40,2,5,43,15
2016-03-20,47,2,5,42,16
2016-03-27,47,2,5,43,16
2016-04-03,45,2,6,43,18
2016-04-10,44,3,5,43,17
2016-04-17,43,3,6,44,17
2016-04-24,46,2,6,42,17
2016-05-01,49,3,5,43,17
2016-05-08,46,2,6,42,17
2016-05-15,47,2,6,45,16
2016-05-22,49,3,6,44,18
2016-05-29,58,3,7,45,19
2016-06-05,56,3,7,46,19
2016-06-12,72,3,7,43,18
2016-06-19,64,3,6,43,18
2016-06-26,59,4,7,43,18
2016-07-03,62,3,7,45,18
2016-07-10,58,3,7,46,18
2016-07-17,61,4,7,45,20
2016-07-24,61,4,8,44,19
2016-07-31,59,4,7,43,18
2016-08-07,54,4,6,47,17
2016-08-14,56,4,6,48,18
2016-08-21,54,4,6,48,19
2016-08-28,55,4,6,51,19
2016-09-04,55,4,6,49,19
2016-09-11,54,4,6,45,19
2016-09-18,52,4,5,46,18
2016-09-25,49,4,5,45,17
2016-10-02,48,3,4,45,17
2016-10-09,46,3,4,46,16
2016-10-16,46,3,4,43,16
2016-10-23,45,3,4,43,16
2016-10-30,44,3,4,43,16
2016-11-06,44,3,4,43,15
2016-11-13,48,3,4,44,18
2016-11-20,61,4,5,44,19
2016-11-27,61,5,5,44,20
2016-12-04,62,4,5,44,22
2016-12-11,67,5,5,45,22
2016-12-18,69,5,5,42,21
2016-12-25,67,4,4,43,20
2017-01-01,51,3,5,42,18
2017-01-08,44,3,5,45,18
2017-01-15,41,3,5,46,17
2017-01-22,41,3,4,49,17
2017-01-29,42,3,4,51,17
2017-02-05,40,3,5,48,17
2017-02-12,39,3,4,47,20
2017-02-19,41,3,5,42,18
2017-02-26,39,3,5,42,18
2017-03-05,40,3,5,41,17
2017-03-12,39,3,5,42,17
2017-03-19,40,3,5,43,18
2017-03-26,39,3,5,42,18
2017-04-02,40,3,5,41,17
2017-04-09,40,3,5,40,18
2017-04-16,41,3,5,41,18
2017-04-23,41,3,5,42,17
2017-04-30,41,4,5,43,18
2017-05-07,43,3,5,42,18
2017-05-14,46,3,6,41,18
2017-05-21,46,4,6,41,18
2017-05-28,50,3,6,41,18
2017-06-04,50,3,6,39,19
2017-06-11,56,4,7,41,19
2017-06-18,51,4,6,43,20
2017-06-25,50,4,6,42,18
2017-07-02,51,4,6,42,19
2017-07-09,51,4,7,45,20
2017-07-16,50,5,7,44,20
2017-07-23,50,5,6,46,19
2017-07-30,52,5,7,48,19
2017-08-06,53,5,6,45,19
2017-08-13,50,5,6,44,19
2017-08-20,49,5,6,43,19
2017-08-27,46,6,5,44,18
2017-09-03,45,5,5,42,18
2017-09-10,45,5,5,41,19
2017-09-17,46,4,5,43,18
2017-09-24,48,4,5,41,17
2017-10-01,44,4,4,42,18
2017-10-08,42,4,4,42,18
2017-10-15,41,4,4,42,21
2017-10-22,39,4,4,39,16
2017-10-29,42,4,4,39,15
2017-11-05,45,4,4,40,17
2017-11-12,49,5,4,42,17
2017-11-19,59,7,5,42,20
2017-11-26,63,8,5,43,20
2017-12-03,62,6,4,42,20
2017-12-10,67,7,5,42,21
2017-12-17,68,7,4,41,20
2017-12-24,63,7,4,40,19
2017-12-31,49,5,5,40,18
2018-01-07,43,5,4,43,18
2018-01-14,40,5,4,40,17
2018-01-21,40,5,4,40,17
2018-01-28,39,5,4,38,17
2018-02-04,38,5,4,38,17
2018-02-11,40,5,4,39,17
2018-02-18,36,5,4,38,17
2018-02-25,37,5,5,39,17
2018-03-04,36,6,5,38,16
2018-03-11,35,6,4,37,16
2018-03-18,37,5,4,37,17
2018-03-25,40,5,4,36,17
2018-04-01,39,5,5,37,18
2018-04-08,39,5,5,38,17
2018-04-15,39,6,5,39,18
2018-04-22,85,7,5,38,19
2018-04-29,43,6,5,36,18
2018-05-06,42,7,6,36,20
2018-05-13,44,7,6,36,18
2018-05-20,44,8,5,36,19
2018-05-27,47,7,6,38,19
2018-06-03,49,7,5,36,18
2018-06-10,52,7,6,38,19
2018-06-17,46,7,5,36,20
2018-06-24,44,8,6,37,19
2018-07-01,47,9,6,37,20
2018-07-08,48,9,6,38,20
2018-07-15,50,9,6,40,19
2018-07-22,45,9,6,39,21
2018-07-29,48,10,7,39,19
2018-08-05,46,11,6,38,19
2018-08-12,45,10,6,39,19
2018-08-19,44,9,6,38,18
2018-08-26,43,10,5,38,18
2018-09-02,41,9,5,38,18
2018-09-09,40,8,4,37,17
2018-09-16,47,8,4,37,18
2018-09-23,39,7,4,37,19
2018-09-30,39,7,4,36,19
2018-10-07,40,7,4,37,17
2018-10-14,39,7,4,36,16
2018-10-21,43,6,3,36,16
2018-10-28,42,6,4,34,16
2018-11-04,40,7,4,35,15
2018-11-11,42,8,4,34,16
2018-11-18,54,13,4,35,17
2018-11-25,57,13,4,35,18
2018-12-02,56,11,4,35,17
2018-12-09,63,11,4,34,18
2018-12-16,64,12,4,34,18
2018-12-23,59,12,4,36,17
2018-12-30,44,9,4,34,17
2019-01-06,43,10,4,35,17
2019-01-13,40,9,4,35,15
2019-01-20,36,8,4,33,16
2019-01-27,37,8,4,39,15
2019-02-03,37,10,4,47,17
2019-02-10,37,9,4,41,16
2019-02-17,37,8,4,37,17
2019-02-24,37,9,4,35,16
2019-03-03,36,9,4,33,16
2019-03-10,34,9,4,35,16
2019-03-17,37,10,4,36,17
2019-03-24,36,9,4,35,17
2019-03-31,37,9,4,34,17
2019-04-07,37,9,5,35,17
2019-04-14,37,10,4,35,18
2019-04-21,36,11,5,38,18
2019-04-28,87,11,5,36,18
2019-05-05,41,11,4,37,17
2019-05-12,40,11,5,41,17
2019-05-19,42,10,4,45,18
2019-05-26,45,11,5,42,18
2019-06-02,46,12,5,41,19
2019-06-09,48,12,5,40,18
2019-06-16,45,15,5,42,18
2019-06-23,44,17,5,42,18
2019-06-30,45,17,5,43,20
2019-07-07,46,17,5,43,19
2019-07-14,50,20,5,43,19
2019-07-21,48,21,6,46,20
2019-07-28,48,25,6,46,20
2019-08-04,46,30,5,46,19
2019-08-11,49,34,5,46,19
2019-08-18,47,36,5,45,19
2019-08-25,45,44,5,52,18
2019-09-01,42,44,5,46,18
2019-09-08,42,45,4,44,17
2019-09-15,42,41,4,42,18
2019-09-22,41,38,4,43,17
2019-09-29,44,35,4,42,17
2019-10-06,45,32,4,41,16
2019-10-13,41,27,4,41,16
2019-10-20,41,27,3,41,16
2019-10-27,40,27,3,40,15
2019-11-03,42,25,3,42,19
2019-11-10,44,25,3,42,16
2019-11-17,46,28,3,41,16
