Category: All categories

Week,Nestlé: (Worldwide)
2015-02-22,78
2015-03-01,78
2015-03-08,74
2015-03-15,77
2015-03-22,86
2015-03-29,90
2015-04-05,68
2015-04-12,74
2015-04-19,72
2015-04-26,70
2015-05-03,67
2015-05-10,67
2015-05-17,73
2015-05-24,68
2015-05-31,73
2015-06-07,78
2015-06-14,75
2015-06-21,69
2015-06-28,65
2015-07-05,69
2015-07-12,72
2015-07-19,63
2015-07-26,61
2015-08-02,62
2015-08-09,63
2015-08-16,65
2015-08-23,75
2015-08-30,63
2015-09-06,66
2015-09-13,73
2015-09-20,98
2015-09-27,100
2015-10-04,90
2015-10-11,80
2015-10-18,88
2015-10-25,85
2015-11-01,90
2015-11-08,87
2015-11-15,80
2015-11-22,82
2015-11-29,82
2015-12-06,79
2015-12-13,84
2015-12-20,73
2015-12-27,66
2016-01-03,69
2016-01-10,66
2016-01-17,69
2016-01-24,68
2016-01-31,72
2016-02-07,72
2016-02-14,72
2016-02-21,77
2016-02-28,71
2016-03-06,75
2016-03-13,72
2016-03-20,78
2016-03-27,66
2016-04-03,66
2016-04-10,64
2016-04-17,62
2016-04-24,70
2016-05-01,75
2016-05-08,69
2016-05-15,71
2016-05-22,67
2016-05-29,73
2016-06-05,67
2016-06-12,61
2016-06-19,64
2016-06-26,79
2016-07-03,67
2016-07-10,64
2016-07-17,56
2016-07-24,55
2016-07-31,49
2016-08-07,49
2016-08-14,48
2016-08-21,53
2016-08-28,55
2016-09-04,57
2016-09-11,59
2016-09-18,58
2016-09-25,61
2016-10-02,59
2016-10-09,60
2016-10-16,68
2016-10-23,60
2016-10-30,59
2016-11-06,58
2016-11-13,64
2016-11-20,67
2016-11-27,61
2016-12-04,62
2016-12-11,62
2016-12-18,67
2016-12-25,50
2017-01-01,53
2017-01-08,56
2017-01-15,53
2017-01-22,54
2017-01-29,60
2017-02-05,59
2017-02-12,65
2017-02-19,63
2017-02-26,65
2017-03-05,67
2017-03-12,61
2017-03-19,63
2017-03-26,61
2017-04-02,63
2017-04-09,66
2017-04-16,63
2017-04-23,56
2017-04-30,56
2017-05-07,55
2017-05-14,56
2017-05-21,49
2017-05-28,52
2017-06-04,52
2017-06-11,49
2017-06-18,58
2017-06-25,59
2017-07-02,49
2017-07-09,48
2017-07-16,48
2017-07-23,45
2017-07-30,47
2017-08-06,51
2017-08-13,45
2017-08-20,52
2017-08-27,49
2017-09-03,51
2017-09-10,56
2017-09-17,61
2017-09-24,65
2017-10-01,58
2017-10-08,53
2017-10-15,59
2017-10-22,57
2017-10-29,56
2017-11-05,59
2017-11-12,61
2017-11-19,59
2017-11-26,57
2017-12-03,57
2017-12-10,59
2017-12-17,62
2017-12-24,50
2017-12-31,48
2018-01-07,58
2018-01-14,61
2018-01-21,58
2018-01-28,55
2018-02-04,59
2018-02-11,59
2018-02-18,68
2018-02-25,61
2018-03-04,59
2018-03-11,59
2018-03-18,67
2018-03-25,68
2018-04-01,59
2018-04-08,53
2018-04-15,54
2018-04-22,60
2018-04-29,56
2018-05-06,59
2018-05-13,56
2018-05-20,52
2018-05-27,53
2018-06-03,56
2018-06-10,57
2018-06-17,49
2018-06-24,48
2018-07-01,45
2018-07-08,51
2018-07-15,54
2018-07-22,52
2018-07-29,50
2018-08-05,48
2018-08-12,54
2018-08-19,51
2018-08-26,51
2018-09-02,53
2018-09-09,55
2018-09-16,59
2018-09-23,57
2018-09-30,57
2018-10-07,58
2018-10-14,59
2018-10-21,61
2018-10-28,62
2018-11-04,61
2018-11-11,63
2018-11-18,60
2018-11-25,61
2018-12-02,59
2018-12-09,60
2018-12-16,64
2018-12-23,54
2018-12-30,49
2019-01-06,45
2019-01-13,56
2019-01-20,58
2019-01-27,60
2019-02-03,60
2019-02-10,64
2019-02-17,65
2019-02-24,61
2019-03-03,61
2019-03-10,70
2019-03-17,65
2019-03-24,67
2019-03-31,65
2019-04-07,67
2019-04-14,77
2019-04-21,63
2019-04-28,57
2019-05-05,60
2019-05-12,58
2019-05-19,58
2019-05-26,64
2019-06-02,64
2019-06-09,55
2019-06-16,56
2019-06-23,54
2019-06-30,61
2019-07-07,52
2019-07-14,63
2019-07-21,55
2019-07-28,54
2019-08-04,58
2019-08-11,55
2019-08-18,58
2019-08-25,59
2019-09-01,59
2019-09-08,60
2019-09-15,56
2019-09-22,61
2019-09-29,65
2019-10-06,62
2019-10-13,65
2019-10-20,68
2019-10-27,67
2019-11-03,65
2019-11-10,67
2019-11-17,63
2019-11-24,64
2019-12-01,60
2019-12-08,61
2019-12-15,65
2019-12-22,63
2019-12-29,53
2020-01-05,56
2020-01-12,60
2020-01-19,63
2020-01-26,62
2020-02-02,68
2020-02-09,64
2020-02-16,64
