Category: All categories

Week,ocean plastic: (Worldwide)
2015-02-22,13
2015-03-01,16
2015-03-08,14
2015-03-15,14
2015-03-22,12
2015-03-29,9
2015-04-05,13
2015-04-12,13
2015-04-19,18
2015-04-26,14
2015-05-03,13
2015-05-10,12
2015-05-17,12
2015-05-24,14
2015-05-31,13
2015-06-07,12
2015-06-14,9
2015-06-21,7
2015-06-28,8
2015-07-05,8
2015-07-12,8
2015-07-19,8
2015-07-26,8
2015-08-02,9
2015-08-09,9
2015-08-16,8
2015-08-23,10
2015-08-30,14
2015-09-06,10
2015-09-13,8
2015-09-20,13
2015-09-27,12
2015-10-04,14
2015-10-11,12
2015-10-18,10
2015-10-25,12
2015-11-01,11
2015-11-08,13
2015-11-15,11
2015-11-22,8
2015-11-29,11
2015-12-06,12
2015-12-13,12
2015-12-20,6
2015-12-27,8
2016-01-03,11
2016-01-10,10
2016-01-17,16
2016-01-24,14
2016-01-31,14
2016-02-07,15
2016-02-14,15
2016-02-21,17
2016-02-28,17
2016-03-06,15
2016-03-13,15
2016-03-20,14
2016-03-27,15
2016-04-03,17
2016-04-10,17
2016-04-17,20
2016-04-24,19
2016-05-01,16
2016-05-08,17
2016-05-15,16
2016-05-22,15
2016-05-29,15
2016-06-05,16
2016-06-12,9
2016-06-19,10
2016-06-26,11
2016-07-03,8
2016-07-10,8
2016-07-17,10
2016-07-24,9
2016-07-31,9
2016-08-07,7
2016-08-14,6
2016-08-21,9
2016-08-28,10
2016-09-04,10
2016-09-11,12
2016-09-18,15
2016-09-25,12
2016-10-02,12
2016-10-09,11
2016-10-16,12
2016-10-23,14
2016-10-30,18
2016-11-06,21
2016-11-13,29
2016-11-20,16
2016-11-27,23
2016-12-04,20
2016-12-11,17
2016-12-18,11
2016-12-25,10
2017-01-01,14
2017-01-08,15
2017-01-15,18
2017-01-22,20
2017-01-29,20
2017-02-05,20
2017-02-12,17
2017-02-19,31
2017-02-26,26
2017-03-05,24
2017-03-12,21
2017-03-19,25
2017-03-26,20
2017-04-02,25
2017-04-09,22
2017-04-16,34
2017-04-23,35
2017-04-30,29
2017-05-07,30
2017-05-14,31
2017-05-21,27
2017-05-28,24
2017-06-04,28
2017-06-11,23
2017-06-18,16
2017-06-25,18
2017-07-02,15
2017-07-09,18
2017-07-16,18
2017-07-23,18
2017-07-30,18
2017-08-06,18
2017-08-13,16
2017-08-20,15
2017-08-27,18
2017-09-03,20
2017-09-10,21
2017-09-17,21
2017-09-24,24
2017-10-01,26
2017-10-08,25
2017-10-15,26
2017-10-22,28
2017-10-29,27
2017-11-05,34
2017-11-12,31
2017-11-19,30
2017-11-26,33
2017-12-03,31
2017-12-10,30
2017-12-17,22
2017-12-24,15
2017-12-31,21
2018-01-07,29
2018-01-14,27
2018-01-21,39
2018-01-28,41
2018-02-04,39
2018-02-11,30
2018-02-18,36
2018-02-25,37
2018-03-04,47
2018-03-11,50
2018-03-18,59
2018-03-25,57
2018-04-01,45
2018-04-08,57
2018-04-15,78
2018-04-22,78
2018-04-29,57
2018-05-06,55
2018-05-13,58
2018-05-20,55
2018-05-27,51
2018-06-03,74
2018-06-10,55
2018-06-17,47
2018-06-24,44
2018-07-01,43
2018-07-08,44
2018-07-15,43
2018-07-22,51
2018-07-29,48
2018-08-05,48
2018-08-12,41
2018-08-19,44
2018-08-26,40
2018-09-02,48
2018-09-09,60
2018-09-16,49
2018-09-23,47
2018-09-30,51
2018-10-07,52
2018-10-14,53
2018-10-21,58
2018-10-28,48
2018-11-04,48
2018-11-11,51
2018-11-18,47
2018-11-25,56
2018-12-02,54
2018-12-09,48
2018-12-16,45
2018-12-23,23
2018-12-30,35
2019-01-06,48
2019-01-13,55
2019-01-20,52
2019-01-27,51
2019-02-03,53
2019-02-10,48
2019-02-17,46
2019-02-24,61
2019-03-03,61
2019-03-10,59
2019-03-17,74
2019-03-24,72
2019-03-31,80
2019-04-07,74
2019-04-14,67
2019-04-21,89
2019-04-28,87
2019-05-05,80
2019-05-12,100
2019-05-19,90
2019-05-26,77
2019-06-02,86
2019-06-09,86
2019-06-16,70
2019-06-23,58
2019-06-30,48
2019-07-07,47
2019-07-14,39
2019-07-21,44
2019-07-28,44
2019-08-04,37
2019-08-11,41
2019-08-18,48
2019-08-25,44
2019-09-01,43
2019-09-08,58
2019-09-15,57
2019-09-22,68
2019-09-29,59
2019-10-06,56
2019-10-13,54
2019-10-20,54
2019-10-27,51
2019-11-03,57
2019-11-10,59
2019-11-17,63
2019-11-24,56
2019-12-01,61
2019-12-08,59
2019-12-15,50
2019-12-22,22
2019-12-29,28
2020-01-05,46
2020-01-12,50
2020-01-19,53
2020-01-26,50
2020-02-02,46
2020-02-09,51
2020-02-16,40
