Category: All categories

Week,Plastic Pollution: (Worldwide)
2015-02-22,4
2015-03-01,5
2015-03-08,5
2015-03-15,6
2015-03-22,6
2015-03-29,5
2015-04-05,3
2015-04-12,7
2015-04-19,8
2015-04-26,6
2015-05-03,6
2015-05-10,6
2015-05-17,6
2015-05-24,6
2015-05-31,5
2015-06-07,5
2015-06-14,4
2015-06-21,4
2015-06-28,3
2015-07-05,4
2015-07-12,4
2015-07-19,3
2015-07-26,4
2015-08-02,4
2015-08-09,5
2015-08-16,3
2015-08-23,5
2015-08-30,5
2015-09-06,6
2015-09-13,6
2015-09-20,4
2015-09-27,7
2015-10-04,7
2015-10-11,6
2015-10-18,7
2015-10-25,7
2015-11-01,6
2015-11-08,6
2015-11-15,8
2015-11-22,6
2015-11-29,7
2015-12-06,6
2015-12-13,5
2015-12-20,3
2015-12-27,3
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,6
2016-01-31,6
2016-02-07,6
2016-02-14,6
2016-02-21,7
2016-02-28,7
2016-03-06,7
2016-03-13,7
2016-03-20,5
2016-03-27,10
2016-04-03,11
2016-04-10,9
2016-04-17,9
2016-04-24,8
2016-05-01,8
2016-05-08,8
2016-05-15,7
2016-05-22,7
2016-05-29,6
2016-06-05,6
2016-06-12,6
2016-06-19,4
2016-06-26,5
2016-07-03,4
2016-07-10,3
2016-07-17,4
2016-07-24,4
2016-07-31,5
2016-08-07,3
2016-08-14,5
2016-08-21,4
2016-08-28,5
2016-09-04,5
2016-09-11,5
2016-09-18,6
2016-09-25,6
2016-10-02,5
2016-10-09,6
2016-10-16,5
2016-10-23,7
2016-10-30,7
2016-11-06,7
2016-11-13,7
2016-11-20,7
2016-11-27,7
2016-12-04,8
2016-12-11,8
2016-12-18,5
2016-12-25,3
2017-01-01,6
2017-01-08,8
2017-01-15,5
2017-01-22,7
2017-01-29,7
2017-02-05,7
2017-02-12,8
2017-02-19,9
2017-02-26,8
2017-03-05,10
2017-03-12,9
2017-03-19,10
2017-03-26,8
2017-04-02,8
2017-04-09,6
2017-04-16,9
2017-04-23,11
2017-04-30,10
2017-05-07,9
2017-05-14,10
2017-05-21,10
2017-05-28,8
2017-06-04,8
2017-06-11,7
2017-06-18,5
2017-06-25,5
2017-07-02,5
2017-07-09,5
2017-07-16,6
2017-07-23,6
2017-07-30,5
2017-08-06,7
2017-08-13,7
2017-08-20,8
2017-08-27,8
2017-09-03,8
2017-09-10,8
2017-09-17,9
2017-09-24,8
2017-10-01,8
2017-10-08,8
2017-10-15,9
2017-10-22,10
2017-10-29,11
2017-11-05,11
2017-11-12,13
2017-11-19,9
2017-11-26,13
2017-12-03,12
2017-12-10,11
2017-12-17,9
2017-12-24,4
2017-12-31,6
2018-01-07,11
2018-01-14,12
2018-01-21,13
2018-01-28,15
2018-02-04,14
2018-02-11,12
2018-02-18,13
2018-02-25,15
2018-03-04,17
2018-03-11,17
2018-03-18,18
2018-03-25,14
2018-04-01,13
2018-04-08,22
2018-04-15,38
2018-04-22,46
2018-04-29,31
2018-05-06,26
2018-05-13,33
2018-05-20,39
2018-05-27,58
2018-06-03,100
2018-06-10,38
2018-06-17,35
2018-06-24,32
2018-07-01,29
2018-07-08,27
2018-07-15,26
2018-07-22,27
2018-07-29,28
2018-08-05,27
2018-08-12,24
2018-08-19,20
2018-08-26,26
2018-09-02,25
2018-09-09,24
2018-09-16,28
2018-09-23,27
2018-09-30,31
2018-10-07,30
2018-10-14,27
2018-10-21,31
2018-10-28,29
2018-11-04,28
2018-11-11,29
2018-11-18,26
2018-11-25,31
2018-12-02,31
2018-12-09,26
2018-12-16,22
2018-12-23,11
2018-12-30,17
2019-01-06,26
2019-01-13,32
2019-01-20,30
2019-01-27,28
2019-02-03,31
2019-02-10,28
2019-02-17,28
2019-02-24,36
2019-03-03,32
2019-03-10,34
2019-03-17,35
2019-03-24,38
2019-03-31,38
2019-04-07,35
2019-04-14,32
2019-04-21,43
2019-04-28,43
2019-05-05,40
2019-05-12,52
2019-05-19,46
2019-05-26,41
2019-06-02,44
2019-06-09,41
2019-06-16,36
2019-06-23,31
2019-06-30,27
2019-07-07,28
2019-07-14,26
2019-07-21,22
2019-07-28,23
2019-08-04,21
2019-08-11,23
2019-08-18,26
2019-08-25,32
2019-09-01,30
2019-09-08,37
2019-09-15,46
2019-09-22,52
2019-09-29,53
2019-10-06,40
2019-10-13,41
2019-10-20,37
2019-10-27,34
2019-11-03,41
2019-11-10,41
2019-11-17,47
2019-11-24,37
2019-12-01,40
2019-12-08,37
2019-12-15,28
2019-12-22,15
2019-12-29,16
2020-01-05,30
2020-01-12,33
2020-01-19,34
2020-01-26,34
2020-02-02,34
2020-02-09,32
2020-02-16,31
