Category: All categories

Week,Poland Spring: (Worldwide)
2015-02-22,77
2015-03-01,67
2015-03-08,77
2015-03-15,69
2015-03-22,79
2015-03-29,82
2015-04-05,73
2015-04-12,77
2015-04-19,58
2015-04-26,77
2015-05-03,75
2015-05-10,75
2015-05-17,68
2015-05-24,61
2015-05-31,81
2015-06-07,82
2015-06-14,71
2015-06-21,96
2015-06-28,70
2015-07-05,99
2015-07-12,81
2015-07-19,94
2015-07-26,81
2015-08-02,100
2015-08-09,82
2015-08-16,80
2015-08-23,73
2015-08-30,75
2015-09-06,86
2015-09-13,80
2015-09-20,65
2015-09-27,69
2015-10-04,59
2015-10-11,67
2015-10-18,68
2015-10-25,54
2015-11-01,67
2015-11-08,56
2015-11-15,62
2015-11-22,44
2015-11-29,54
2015-12-06,56
2015-12-13,56
2015-12-20,48
2015-12-27,52
2016-01-03,60
2016-01-10,42
2016-01-17,52
2016-01-24,54
2016-01-31,68
2016-02-07,49
2016-02-14,50
2016-02-21,62
2016-02-28,75
2016-03-06,66
2016-03-13,63
2016-03-20,63
2016-03-27,61
2016-04-03,51
2016-04-10,52
2016-04-17,62
2016-04-24,59
2016-05-01,56
2016-05-08,66
2016-05-15,63
2016-05-22,62
2016-05-29,70
2016-06-05,58
2016-06-12,51
2016-06-19,61
2016-06-26,59
2016-07-03,58
2016-07-10,68
2016-07-17,58
2016-07-24,69
2016-07-31,57
2016-08-07,72
2016-08-14,60
2016-08-21,65
2016-08-28,64
2016-09-04,65
2016-09-11,57
2016-09-18,68
2016-09-25,64
2016-10-02,56
2016-10-09,44
2016-10-16,57
2016-10-23,57
2016-10-30,55
2016-11-06,46
2016-11-13,66
2016-11-20,41
2016-11-27,51
2016-12-04,53
2016-12-11,44
2016-12-18,51
2016-12-25,47
2017-01-01,47
2017-01-08,54
2017-01-15,50
2017-01-22,54
2017-01-29,52
2017-02-05,56
2017-02-12,56
2017-02-19,54
2017-02-26,60
2017-03-05,62
2017-03-12,55
2017-03-19,60
2017-03-26,55
2017-04-02,55
2017-04-09,50
2017-04-16,62
2017-04-23,53
2017-04-30,65
2017-05-07,51
2017-05-14,54
2017-05-21,64
2017-05-28,50
2017-06-04,69
2017-06-11,64
2017-06-18,60
2017-06-25,69
2017-07-02,58
2017-07-09,65
2017-07-16,54
2017-07-23,52
2017-07-30,59
2017-08-06,57
2017-08-13,85
2017-08-20,91
2017-08-27,52
2017-09-03,59
2017-09-10,48
2017-09-17,61
2017-09-24,55
2017-10-01,49
2017-10-08,55
2017-10-15,48
2017-10-22,45
2017-10-29,44
2017-11-05,47
2017-11-12,51
2017-11-19,36
2017-11-26,49
2017-12-03,47
2017-12-10,44
2017-12-17,38
2017-12-24,39
2017-12-31,88
2018-01-07,57
2018-01-14,55
2018-01-21,54
2018-01-28,58
2018-02-04,52
2018-02-11,52
2018-02-18,53
2018-02-25,63
2018-03-04,51
2018-03-11,57
2018-03-18,61
2018-03-25,57
2018-04-01,56
2018-04-08,59
2018-04-15,62
2018-04-22,62
2018-04-29,65
2018-05-06,63
2018-05-13,62
2018-05-20,66
2018-05-27,78
2018-06-03,57
2018-06-10,55
2018-06-17,60
2018-06-24,58
2018-07-01,68
2018-07-08,68
2018-07-15,62
2018-07-22,60
2018-07-29,73
2018-08-05,71
2018-08-12,53
2018-08-19,62
2018-08-26,54
2018-09-02,52
2018-09-09,49
2018-09-16,51
2018-09-23,44
2018-09-30,43
2018-10-07,53
2018-10-14,44
2018-10-21,48
2018-10-28,39
2018-11-04,40
2018-11-11,41
2018-11-18,30
2018-11-25,40
2018-12-02,45
2018-12-09,42
2018-12-16,43
2018-12-23,48
2018-12-30,44
2019-01-06,60
2019-01-13,42
2019-01-20,43
2019-01-27,51
2019-02-03,51
2019-02-10,50
2019-02-17,43
2019-02-24,47
2019-03-03,54
2019-03-10,49
2019-03-17,60
2019-03-24,60
2019-03-31,85
2019-04-07,52
2019-04-14,70
2019-04-21,69
2019-04-28,64
2019-05-05,64
2019-05-12,58
2019-05-19,63
2019-05-26,65
2019-06-02,63
2019-06-09,62
2019-06-16,61
2019-06-23,71
2019-06-30,63
2019-07-07,58
2019-07-14,68
2019-07-21,55
2019-07-28,72
2019-08-04,51
2019-08-11,61
2019-08-18,64
2019-08-25,53
2019-09-01,50
2019-09-08,46
2019-09-15,51
2019-09-22,54
2019-09-29,50
2019-10-06,48
2019-10-13,44
2019-10-20,44
2019-10-27,45
2019-11-03,34
2019-11-10,34
2019-11-17,39
2019-11-24,35
2019-12-01,48
2019-12-08,48
2019-12-15,31
2019-12-22,36
2019-12-29,49
2020-01-05,42
2020-01-12,36
2020-01-19,43
2020-01-26,46
2020-02-02,42
2020-02-09,45
2020-02-16,39
