Category: All categories

Week,reusable bottle: (Worldwide)
2015-02-22,24
2015-03-01,23
2015-03-08,37
2015-03-15,36
2015-03-22,34
2015-03-29,26
2015-04-05,24
2015-04-12,32
2015-04-19,33
2015-04-26,29
2015-05-03,35
2015-05-10,19
2015-05-17,34
2015-05-24,28
2015-05-31,27
2015-06-07,28
2015-06-14,32
2015-06-21,31
2015-06-28,28
2015-07-05,25
2015-07-12,32
2015-07-19,30
2015-07-26,35
2015-08-02,36
2015-08-09,37
2015-08-16,27
2015-08-23,31
2015-08-30,35
2015-09-06,33
2015-09-13,32
2015-09-20,30
2015-09-27,27
2015-10-04,27
2015-10-11,21
2015-10-18,28
2015-10-25,28
2015-11-01,26
2015-11-08,35
2015-11-15,32
2015-11-22,40
2015-11-29,33
2015-12-06,30
2015-12-13,28
2015-12-20,20
2015-12-27,23
2016-01-03,32
2016-01-10,36
2016-01-17,31
2016-01-24,34
2016-01-31,35
2016-02-07,45
2016-02-14,34
2016-02-21,36
2016-02-28,38
2016-03-06,34
2016-03-13,27
2016-03-20,37
2016-03-27,35
2016-04-03,43
2016-04-10,25
2016-04-17,40
2016-04-24,29
2016-05-01,36
2016-05-08,38
2016-05-15,33
2016-05-22,30
2016-05-29,33
2016-06-05,25
2016-06-12,33
2016-06-19,31
2016-06-26,26
2016-07-03,36
2016-07-10,30
2016-07-17,37
2016-07-24,23
2016-07-31,27
2016-08-07,15
2016-08-14,33
2016-08-21,28
2016-08-28,39
2016-09-04,38
2016-09-11,33
2016-09-18,30
2016-09-25,35
2016-10-02,33
2016-10-09,23
2016-10-16,27
2016-10-23,35
2016-10-30,28
2016-11-06,26
2016-11-13,34
2016-11-20,30
2016-11-27,37
2016-12-04,53
2016-12-11,36
2016-12-18,24
2016-12-25,21
2017-01-01,31
2017-01-08,31
2017-01-15,34
2017-01-22,36
2017-01-29,31
2017-02-05,31
2017-02-12,24
2017-02-19,28
2017-02-26,36
2017-03-05,42
2017-03-12,31
2017-03-19,35
2017-03-26,35
2017-04-02,48
2017-04-09,34
2017-04-16,32
2017-04-23,44
2017-04-30,34
2017-05-07,38
2017-05-14,38
2017-05-21,42
2017-05-28,36
2017-06-04,31
2017-06-11,35
2017-06-18,37
2017-06-25,43
2017-07-02,30
2017-07-09,49
2017-07-16,46
2017-07-23,33
2017-07-30,37
2017-08-06,38
2017-08-13,38
2017-08-20,42
2017-08-27,49
2017-09-03,38
2017-09-10,45
2017-09-17,41
2017-09-24,34
2017-10-01,26
2017-10-08,35
2017-10-15,34
2017-10-22,32
2017-10-29,39
2017-11-05,32
2017-11-12,49
2017-11-19,45
2017-11-26,43
2017-12-03,45
2017-12-10,54
2017-12-17,48
2017-12-24,36
2017-12-31,42
2018-01-07,53
2018-01-14,54
2018-01-21,49
2018-01-28,43
2018-02-04,43
2018-02-11,37
2018-02-18,53
2018-02-25,38
2018-03-04,41
2018-03-11,42
2018-03-18,49
2018-03-25,59
2018-04-01,56
2018-04-08,65
2018-04-15,55
2018-04-22,56
2018-04-29,57
2018-05-06,68
2018-05-13,43
2018-05-20,46
2018-05-27,43
2018-06-03,68
2018-06-10,41
2018-06-17,59
2018-06-24,54
2018-07-01,47
2018-07-08,61
2018-07-15,59
2018-07-22,54
2018-07-29,57
2018-08-05,58
2018-08-12,61
2018-08-19,52
2018-08-26,47
2018-09-02,48
2018-09-09,43
2018-09-16,52
2018-09-23,45
2018-09-30,55
2018-10-07,42
2018-10-14,46
2018-10-21,53
2018-10-28,43
2018-11-04,61
2018-11-11,67
2018-11-18,60
2018-11-25,65
2018-12-02,73
2018-12-09,55
2018-12-16,59
2018-12-23,36
2018-12-30,52
2019-01-06,70
2019-01-13,57
2019-01-20,64
2019-01-27,56
2019-02-03,52
2019-02-10,47
2019-02-17,55
2019-02-24,64
2019-03-03,65
2019-03-10,59
2019-03-17,68
2019-03-24,49
2019-03-31,60
2019-04-07,60
2019-04-14,64
2019-04-21,71
2019-04-28,80
2019-05-05,75
2019-05-12,73
2019-05-19,82
2019-05-26,79
2019-06-02,73
2019-06-09,91
2019-06-16,72
2019-06-23,90
2019-06-30,80
2019-07-07,79
2019-07-14,71
2019-07-21,75
2019-07-28,74
2019-08-04,77
2019-08-11,86
2019-08-18,70
2019-08-25,83
2019-09-01,100
2019-09-08,79
2019-09-15,76
2019-09-22,73
2019-09-29,87
2019-10-06,70
2019-10-13,60
2019-10-20,60
2019-10-27,66
2019-11-03,76
2019-11-10,71
2019-11-17,76
2019-11-24,60
2019-12-01,79
2019-12-08,93
2019-12-15,70
2019-12-22,64
2019-12-29,72
2020-01-05,91
2020-01-12,82
2020-01-19,77
2020-01-26,80
2020-02-02,70
2020-02-09,80
2020-02-16,57
