Category: All categories

Week,SmartWater: (Worldwide)
2015-02-22,41
2015-03-01,37
2015-03-08,52
2015-03-15,43
2015-03-22,43
2015-03-29,42
2015-04-05,33
2015-04-12,44
2015-04-19,50
2015-04-26,39
2015-05-03,47
2015-05-10,46
2015-05-17,36
2015-05-24,45
2015-05-31,42
2015-06-07,50
2015-06-14,58
2015-06-21,74
2015-06-28,49
2015-07-05,51
2015-07-12,45
2015-07-19,54
2015-07-26,51
2015-08-02,47
2015-08-09,43
2015-08-16,51
2015-08-23,37
2015-08-30,52
2015-09-06,54
2015-09-13,37
2015-09-20,45
2015-09-27,55
2015-10-04,37
2015-10-11,43
2015-10-18,47
2015-10-25,42
2015-11-01,42
2015-11-08,43
2015-11-15,38
2015-11-22,44
2015-11-29,35
2015-12-06,51
2015-12-13,39
2015-12-20,40
2015-12-27,43
2016-01-03,50
2016-01-10,54
2016-01-17,36
2016-01-24,49
2016-01-31,43
2016-02-07,46
2016-02-14,32
2016-02-21,56
2016-02-28,38
2016-03-06,52
2016-03-13,39
2016-03-20,42
2016-03-27,36
2016-04-03,41
2016-04-10,46
2016-04-17,41
2016-04-24,40
2016-05-01,50
2016-05-08,39
2016-05-15,49
2016-05-22,47
2016-05-29,45
2016-06-05,46
2016-06-12,40
2016-06-19,41
2016-06-26,31
2016-07-03,46
2016-07-10,39
2016-07-17,46
2016-07-24,48
2016-07-31,39
2016-08-07,46
2016-08-14,46
2016-08-21,47
2016-08-28,44
2016-09-04,38
2016-09-11,36
2016-09-18,31
2016-09-25,53
2016-10-02,47
2016-10-09,49
2016-10-16,36
2016-10-23,43
2016-10-30,45
2016-11-06,40
2016-11-13,43
2016-11-20,36
2016-11-27,40
2016-12-04,43
2016-12-11,34
2016-12-18,29
2016-12-25,33
2017-01-01,41
2017-01-08,42
2017-01-15,31
2017-01-22,45
2017-01-29,45
2017-02-05,31
2017-02-12,43
2017-02-19,35
2017-02-26,43
2017-03-05,48
2017-03-12,43
2017-03-19,46
2017-03-26,43
2017-04-02,44
2017-04-09,43
2017-04-16,50
2017-04-23,43
2017-04-30,49
2017-05-07,37
2017-05-14,41
2017-05-21,43
2017-05-28,37
2017-06-04,35
2017-06-11,36
2017-06-18,34
2017-06-25,60
2017-07-02,46
2017-07-09,44
2017-07-16,49
2017-07-23,43
2017-07-30,43
2017-08-06,41
2017-08-13,46
2017-08-20,54
2017-08-27,47
2017-09-03,36
2017-09-10,44
2017-09-17,42
2017-09-24,31
2017-10-01,36
2017-10-08,34
2017-10-15,32
2017-10-22,35
2017-10-29,29
2017-11-05,48
2017-11-12,43
2017-11-19,39
2017-11-26,36
2017-12-03,45
2017-12-10,31
2017-12-17,38
2017-12-24,42
2017-12-31,47
2018-01-07,40
2018-01-14,36
2018-01-21,45
2018-01-28,35
2018-02-04,43
2018-02-11,41
2018-02-18,39
2018-02-25,42
2018-03-04,48
2018-03-11,44
2018-03-18,49
2018-03-25,38
2018-04-01,67
2018-04-08,50
2018-04-15,40
2018-04-22,40
2018-04-29,58
2018-05-06,65
2018-05-13,52
2018-05-20,44
2018-05-27,43
2018-06-03,46
2018-06-10,49
2018-06-17,49
2018-06-24,46
2018-07-01,34
2018-07-08,48
2018-07-15,47
2018-07-22,40
2018-07-29,38
2018-08-05,52
2018-08-12,55
2018-08-19,54
2018-08-26,37
2018-09-02,45
2018-09-09,54
2018-09-16,39
2018-09-23,43
2018-09-30,37
2018-10-07,47
2018-10-14,44
2018-10-21,48
2018-10-28,40
2018-11-04,56
2018-11-11,45
2018-11-18,36
2018-11-25,44
2018-12-02,100
2018-12-09,72
2018-12-16,52
2018-12-23,52
2018-12-30,44
2019-01-06,43
2019-01-13,55
2019-01-20,45
2019-01-27,47
2019-02-03,54
2019-02-10,43
2019-02-17,42
2019-02-24,48
2019-03-03,44
2019-03-10,42
2019-03-17,52
2019-03-24,45
2019-03-31,41
2019-04-07,42
2019-04-14,53
2019-04-21,52
2019-04-28,62
2019-05-05,48
2019-05-12,40
2019-05-19,58
2019-05-26,43
2019-06-02,46
2019-06-09,56
2019-06-16,56
2019-06-23,53
2019-06-30,49
2019-07-07,53
2019-07-14,54
2019-07-21,41
2019-07-28,43
2019-08-04,48
2019-08-11,43
2019-08-18,50
2019-08-25,45
2019-09-01,39
2019-09-08,46
2019-09-15,50
2019-09-22,41
2019-09-29,48
2019-10-06,43
2019-10-13,37
2019-10-20,37
2019-10-27,38
2019-11-03,48
2019-11-10,45
2019-11-17,46
2019-11-24,42
2019-12-01,42
2019-12-08,32
2019-12-15,43
2019-12-22,32
2019-12-29,44
2020-01-05,68
2020-01-12,56
2020-01-19,38
2020-01-26,52
2020-02-02,43
2020-02-09,46
2020-02-16,46
