Category: All categories

Week,Swell: (Worldwide)
2015-02-22,53
2015-03-01,55
2015-03-08,60
2015-03-15,58
2015-03-22,57
2015-03-29,57
2015-04-05,60
2015-04-12,63
2015-04-19,60
2015-04-26,58
2015-05-03,65
2015-05-10,65
2015-05-17,62
2015-05-24,65
2015-05-31,64
2015-06-07,70
2015-06-14,68
2015-06-21,74
2015-06-28,71
2015-07-05,69
2015-07-12,70
2015-07-19,69
2015-07-26,68
2015-08-02,67
2015-08-09,66
2015-08-16,65
2015-08-23,66
2015-08-30,64
2015-09-06,69
2015-09-13,65
2015-09-20,64
2015-09-27,65
2015-10-04,61
2015-10-11,64
2015-10-18,59
2015-10-25,60
2015-11-01,60
2015-11-08,58
2015-11-15,61
2015-11-22,65
2015-11-29,74
2015-12-06,75
2015-12-13,80
2015-12-20,76
2015-12-27,79
2016-01-03,76
2016-01-10,68
2016-01-17,69
2016-01-24,69
2016-01-31,70
2016-02-07,71
2016-02-14,70
2016-02-21,75
2016-02-28,70
2016-03-06,72
2016-03-13,68
2016-03-20,72
2016-03-27,74
2016-04-03,81
2016-04-10,76
2016-04-17,78
2016-04-24,76
2016-05-01,76
2016-05-08,77
2016-05-15,75
2016-05-22,80
2016-05-29,85
2016-06-05,84
2016-06-12,79
2016-06-19,81
2016-06-26,80
2016-07-03,80
2016-07-10,82
2016-07-17,87
2016-07-24,84
2016-07-31,82
2016-08-07,79
2016-08-14,81
2016-08-21,84
2016-08-28,86
2016-09-04,84
2016-09-11,82
2016-09-18,80
2016-09-25,76
2016-10-02,75
2016-10-09,74
2016-10-16,72
2016-10-23,69
2016-10-30,69
2016-11-06,68
2016-11-13,78
2016-11-20,84
2016-11-27,90
2016-12-04,95
2016-12-11,100
2016-12-18,94
2016-12-25,89
2017-01-01,81
2017-01-08,78
2017-01-15,76
2017-01-22,75
2017-01-29,75
2017-02-05,75
2017-02-12,89
2017-02-19,80
2017-02-26,78
2017-03-05,77
2017-03-12,74
2017-03-19,76
2017-03-26,79
2017-04-02,75
2017-04-09,79
2017-04-16,79
2017-04-23,75
2017-04-30,80
2017-05-07,78
2017-05-14,80
2017-05-21,81
2017-05-28,81
2017-06-04,82
2017-06-11,86
2017-06-18,88
2017-06-25,81
2017-07-02,85
2017-07-09,85
2017-07-16,90
2017-07-23,84
2017-07-30,84
2017-08-06,85
2017-08-13,83
2017-08-20,83
2017-08-27,79
2017-09-03,78
2017-09-10,83
2017-09-17,79
2017-09-24,79
2017-10-01,80
2017-10-08,77
2017-10-15,93
2017-10-22,73
2017-10-29,68
2017-11-05,74
2017-11-12,76
2017-11-19,87
2017-11-26,91
2017-12-03,90
2017-12-10,93
2017-12-17,90
2017-12-24,86
2017-12-31,82
2018-01-07,78
2018-01-14,76
2018-01-21,78
2018-01-28,77
2018-02-04,74
2018-02-11,75
2018-02-18,74
2018-02-25,76
2018-03-04,74
2018-03-11,72
2018-03-18,75
2018-03-25,77
2018-04-01,76
2018-04-08,77
2018-04-15,76
2018-04-22,84
2018-04-29,80
2018-05-06,88
2018-05-13,79
2018-05-20,84
2018-05-27,87
2018-06-03,82
2018-06-10,83
2018-06-17,88
2018-06-24,84
2018-07-01,89
2018-07-08,89
2018-07-15,86
2018-07-22,90
2018-07-29,84
2018-08-05,85
2018-08-12,85
2018-08-19,80
2018-08-26,81
2018-09-02,79
2018-09-09,79
2018-09-16,82
2018-09-23,85
2018-09-30,86
2018-10-07,74
2018-10-14,71
2018-10-21,72
2018-10-28,70
2018-11-04,67
2018-11-11,72
2018-11-18,76
2018-11-25,81
2018-12-02,78
2018-12-09,78
2018-12-16,81
2018-12-23,74
2018-12-30,77
2019-01-06,75
2019-01-13,70
2019-01-20,69
2019-01-27,68
2019-02-03,75
2019-02-10,73
2019-02-17,75
2019-02-24,73
2019-03-03,73
2019-03-10,69
2019-03-17,76
2019-03-24,76
2019-03-31,75
2019-04-07,76
2019-04-14,80
2019-04-21,82
2019-04-28,78
2019-05-05,75
2019-05-12,76
2019-05-19,82
2019-05-26,79
2019-06-02,83
2019-06-09,83
2019-06-16,80
2019-06-23,82
2019-06-30,88
2019-07-07,87
2019-07-14,85
2019-07-21,88
2019-07-28,88
2019-08-04,84
2019-08-11,84
2019-08-18,83
2019-08-25,80
2019-09-01,81
2019-09-08,76
2019-09-15,80
2019-09-22,76
2019-09-29,74
2019-10-06,72
2019-10-13,74
2019-10-20,73
2019-10-27,68
2019-11-03,83
2019-11-10,69
2019-11-17,71
2019-11-24,72
2019-12-01,71
2019-12-08,69
2019-12-15,74
2019-12-22,76
2019-12-29,78
2020-01-05,72
2020-01-12,71
2020-01-19,70
2020-01-26,68
2020-02-02,70
2020-02-09,71
2020-02-16,70
