Category: All categories

Week,Yeti: (Worldwide)
2015-02-22,34
2015-03-01,32
2015-03-08,34
2015-03-15,36
2015-03-22,36
2015-03-29,39
2015-04-05,37
2015-04-12,36
2015-04-19,35
2015-04-26,34
2015-05-03,36
2015-05-10,36
2015-05-17,38
2015-05-24,39
2015-05-31,40
2015-06-07,43
2015-06-14,52
2015-06-21,48
2015-06-28,45
2015-07-05,46
2015-07-12,47
2015-07-19,49
2015-07-26,52
2015-08-02,50
2015-08-09,50
2015-08-16,55
2015-08-23,53
2015-08-30,51
2015-09-06,51
2015-09-13,49
2015-09-20,50
2015-09-27,47
2015-10-04,45
2015-10-11,46
2015-10-18,47
2015-10-25,46
2015-11-01,48
2015-11-08,49
2015-11-15,49
2015-11-22,60
2015-11-29,71
2015-12-06,79
2015-12-13,96
2015-12-20,100
2015-12-27,71
2016-01-03,52
2016-01-10,46
2016-01-17,44
2016-01-24,44
2016-01-31,47
2016-02-07,52
2016-02-14,45
2016-02-21,42
2016-02-28,41
2016-03-06,42
2016-03-13,41
2016-03-20,47
2016-03-27,48
2016-04-03,44
2016-04-10,44
2016-04-17,43
2016-04-24,47
2016-05-01,49
2016-05-08,47
2016-05-15,47
2016-05-22,51
2016-05-29,58
2016-06-05,57
2016-06-12,72
2016-06-19,64
2016-06-26,60
2016-07-03,62
2016-07-10,59
2016-07-17,61
2016-07-24,61
2016-07-31,59
2016-08-07,55
2016-08-14,56
2016-08-21,53
2016-08-28,56
2016-09-04,55
2016-09-11,55
2016-09-18,53
2016-09-25,49
2016-10-02,48
2016-10-09,46
2016-10-16,46
2016-10-23,46
2016-10-30,45
2016-11-06,44
2016-11-13,48
2016-11-20,61
2016-11-27,62
2016-12-04,62
2016-12-11,67
2016-12-18,70
2016-12-25,67
2017-01-01,50
2017-01-08,44
2017-01-15,41
2017-01-22,42
2017-01-29,42
2017-02-05,40
2017-02-12,40
2017-02-19,41
2017-02-26,40
2017-03-05,39
2017-03-12,40
2017-03-19,40
2017-03-26,39
2017-04-02,40
2017-04-09,41
2017-04-16,41
2017-04-23,41
2017-04-30,41
2017-05-07,42
2017-05-14,46
2017-05-21,46
2017-05-28,49
2017-06-04,50
2017-06-11,56
2017-06-18,51
2017-06-25,50
2017-07-02,51
2017-07-09,51
2017-07-16,51
2017-07-23,50
2017-07-30,52
2017-08-06,52
2017-08-13,50
2017-08-20,49
2017-08-27,46
2017-09-03,45
2017-09-10,44
2017-09-17,46
2017-09-24,48
2017-10-01,45
2017-10-08,41
2017-10-15,41
2017-10-22,39
2017-10-29,42
2017-11-05,46
2017-11-12,49
2017-11-19,60
2017-11-26,63
2017-12-03,62
2017-12-10,67
2017-12-17,68
2017-12-24,64
2017-12-31,49
2018-01-07,43
2018-01-14,40
2018-01-21,40
2018-01-28,39
2018-02-04,38
2018-02-11,39
2018-02-18,36
2018-02-25,37
2018-03-04,37
2018-03-11,35
2018-03-18,37
2018-03-25,40
2018-04-01,40
2018-04-08,40
2018-04-15,39
2018-04-22,84
2018-04-29,43
2018-05-06,43
2018-05-13,45
2018-05-20,44
2018-05-27,47
2018-06-03,49
2018-06-10,52
2018-06-17,47
2018-06-24,44
2018-07-01,47
2018-07-08,49
2018-07-15,50
2018-07-22,46
2018-07-29,48
2018-08-05,47
2018-08-12,45
2018-08-19,43
2018-08-26,43
2018-09-02,41
2018-09-09,40
2018-09-16,47
2018-09-23,38
2018-09-30,40
2018-10-07,39
2018-10-14,39
2018-10-21,43
2018-10-28,41
2018-11-04,40
2018-11-11,42
2018-11-18,55
2018-11-25,57
2018-12-02,57
2018-12-09,63
2018-12-16,64
2018-12-23,58
2018-12-30,44
2019-01-06,43
2019-01-13,40
2019-01-20,37
2019-01-27,38
2019-02-03,37
2019-02-10,38
2019-02-17,36
2019-02-24,37
2019-03-03,36
2019-03-10,34
2019-03-17,37
2019-03-24,36
2019-03-31,37
2019-04-07,37
2019-04-14,36
2019-04-21,37
2019-04-28,87
2019-05-05,42
2019-05-12,40
2019-05-19,42
2019-05-26,45
2019-06-02,46
2019-06-09,49
2019-06-16,45
2019-06-23,44
2019-06-30,45
2019-07-07,46
2019-07-14,50
2019-07-21,48
2019-07-28,48
2019-08-04,46
2019-08-11,49
2019-08-18,47
2019-08-25,45
2019-09-01,42
2019-09-08,42
2019-09-15,42
2019-09-22,41
2019-09-29,44
2019-10-06,45
2019-10-13,42
2019-10-20,41
2019-10-27,40
2019-11-03,43
2019-11-10,44
2019-11-17,46
2019-11-24,56
2019-12-01,61
2019-12-08,61
2019-12-15,64
2019-12-22,63
2019-12-29,47
2020-01-05,41
2020-01-12,39
2020-01-19,39
2020-01-26,38
2020-02-02,38
2020-02-09,39
2020-02-16,39
